 
 2020-07-09 23:50:40 
  
 2020-07-10 09:17:54 
  
 2020-07-10 12:19:20 
  
 2020-07-10 15:33:02 
  
 2020-07-10 20:27:48 
  
 2020-07-10 23:30:31 
  
 2020-07-11 08:33:56 
  
 2020-07-11 12:17:44 
  
 2020-07-11 15:23:04 
  
 2020-07-11 19:38:20 
  
 2020-07-12 08:24:02 
  
 2020-07-12 11:28:21 
  
 2020-07-12 15:46:34 
  
 2020-07-12 19:13:28 
  
 2020-07-12 22:21:04 
  
 2020-07-13 01:21:14 
  
 2020-07-13 09:51:22 
  
 2020-07-13 08:23:06 
  
 2020-07-13 16:01:12 
  
 2020-07-13 19:53:23 
  
 2020-07-13 20:47:46 
  
 2020-07-14 00:26:35 
  
 2020-07-14 07:34:57 
  
 2020-07-14 11:20:45 
  
 2020-07-14 15:24:57 
  
 2020-07-14 19:40:44 
  
 2020-07-15 10:13:00 
  
 2020-07-15 13:25:38 
  
 2020-07-15 16:39:12 
  
 2020-07-15 20:01:29 
  
 2020-07-15 23:01:35 
  
 2020-07-16 08:50:52 
  
 2020-07-16 11:50:59 
  
 2020-07-16 14:51:02 
  
 2020-07-16 19:15:28 
  
 2020-07-16 22:21:45 
  
 2020-07-17 08:41:09 
  
 2020-07-17 11:41:13 
  
 2020-07-17 14:49:11 
  
 2020-07-17 17:50:31 
  
 2020-07-17 20:50:32 
  
 2020-07-18 02:30:43 
  
 2020-07-18 12:05:46 
  
 2020-07-18 19:20:03 
 Name of the deleted file is Factories_Act_1_2019_64161.pdf 
 Name of the deleted file is Maternity_Benefit_1_2019_29721.pdf 
 Name of the deleted file is Payment_Wages_1_2019_7828.pdf 
  
 2020-07-19 08:31:55 
  
 2020-07-19 11:32:54 
  
 2020-07-19 14:38:04 
  
 2020-07-19 13:09:28 
  
 2020-07-19 21:03:49 
  
 2020-07-20 09:31:46 
  
 2020-07-20 12:32:01 
  
 2020-07-20 15:32:13 
  
 2020-07-20 18:34:26 
  
 2020-07-20 21:34:36 
  
 2020-07-21 08:53:09 
  
 2020-07-21 12:06:22 
  
 2020-07-21 15:06:24 
  
 2020-07-21 18:27:21 
  
 2020-07-21 21:34:13 
  
 2020-07-22 09:16:59 
  
 2020-07-22 12:25:10 
  
 2020-07-22 15:25:18 
  
 2020-07-22 18:25:56 
  
 2020-07-22 21:26:39 
  
 2020-07-23 00:38:38 
  
 2020-07-23 09:31:13 
  
 2020-07-23 12:32:06 
  
 2020-07-23 15:35:14 
  
 2020-07-23 21:43:05 
  
 2020-07-24 11:48:25 
  
 2020-07-24 14:51:08 
  
 2020-07-24 17:51:21 
  
 2020-07-24 20:57:00 
  
 2020-07-25 12:38:19 
  
 2020-07-25 15:38:26 
  
 2020-07-25 18:43:06 
  
 2020-07-25 21:46:28 
  
 2020-07-26 09:29:02 
  
 2020-07-26 12:40:45 
  
 2020-07-26 17:56:25 
  
 2020-07-26 22:39:20 
  
 2020-07-27 09:27:26 
  
 2020-07-27 13:58:27 
  
 2020-07-27 17:39:16 
  
 2020-07-27 20:39:45 
  
 2020-07-27 23:43:28 
  
 2020-07-28 09:00:47 
  
 2020-07-28 12:00:50 
  
 2020-07-28 15:00:51 
  
 2020-07-28 18:23:53 
  
 2020-07-28 23:37:48 
  
 2020-07-29 08:40:55 
  
 2020-07-29 11:47:30 
  
 2020-07-29 15:26:21 
  
 2020-07-29 18:28:41 
  
 2020-07-30 09:14:26 
  
 2020-07-30 12:20:42 
  
 2020-07-30 15:34:32 
  
 2020-07-30 18:36:57 
  
 2020-07-30 21:56:39 
  
 2020-07-31 01:39:28 
  
 2020-07-31 10:59:55 
  
 2020-07-31 16:03:28 
  
 2020-08-01 08:54:07 
  
 2020-08-01 11:56:53 
  
 2020-08-01 16:51:54 
  
 2020-08-01 20:10:35 
  
 2020-08-01 23:16:28 
  
 2020-08-02 10:45:01 
  
 2020-08-02 21:13:20 
  
 2020-08-03 10:24:38 
  
 2020-08-03 13:30:16 
 Name of the deleted file is License_certificate_2020_15857_1596436249.pdf 
 Name of the deleted file is Registration_certificate_2020_15857_1596436249.pdf 
  
 2020-08-03 16:35:07 
